post_id,title,category,score,num_comments,author,collected_at
47661439,I Won't Download Your App. The Web Version Is A-OK,other,492,254,ssiddharth,2026-04-06 22:24:29
47660954,"Germany Doxes ""UNKN,"" Head of RU Ransomware Gangs REvil, GandCrab",worldnews,129,53,Bender,2026-04-06 22:24:30
47662658,sc-im Spreadsheets in Your Terminal,other,29,4,m-hodges,2026-04-06 22:24:31
47660925,Claude Code is unusable for complex engineering tasks with the Feb updates,technology,169,99,StanAngeloff,2026-04-06 22:24:33
47662857,81yo Dodgers fan can no longer get tickets because he doesn't have a smartphone,other,81,53,josephcsible,2026-04-06 22:24:33
47662234,A Cryptography Engineer's Perspective on Quantum Computing Timelines,other,33,1,thadt,2026-04-06 22:24:34
47663207,Show HN: I Built Paul Graham's Intellectual Captcha Idea,entertainment,7,0,nowflux,2026-04-06 22:24:35
47663147,Launch HN: Freestyle: Sandboxes for AI Coding Agents,technology,6,1,benswerd,2026-04-06 22:24:36
47660286,What Being Ripped Off Taught Me,other,193,121,doctorhandshake,2026-04-06 22:24:37
47662833,Reducto releases Deep Extract,other,4,0,raunakchowdhuri,2026-04-06 22:24:38
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,753,114,armanified,2026-04-06 22:24:39
47651703,Microsoft hasn't had a coherent GUI strategy since Petzold,other,700,474,naves,2026-04-06 22:24:40
47660343,PostHog (YC W20) Is Hiring,other,1,0,james_impliu,2026-04-06 22:24:40
47656622,An open-source 240-antenna array to bounce signals off the Moon,other,212,43,hillcrestenigma,2026-04-06 22:24:41
47652561,Gemma 4 on iPhone,other,782,220,janandonly,2026-04-06 22:24:42
47658146,France pulls last gold held in US for $15B gain,technology,459,252,teleforce,2026-04-06 22:24:43
47662596,AI Singer Now Occupies Eleven Spots on iTunes Singles Chart,technology,26,21,flinner,2026-04-06 22:24:44
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,232,145,keepamovin,2026-04-06 22:24:45
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,212,21,karimf,2026-04-06 22:24:46
47613827,One ant for $220: The new frontier of wildlife trafficking,other,92,16,gmays,2026-04-06 22:24:46
47637377,LÖVE: 2D Game Framework for Lua,sports,378,191,cl3misch,2026-04-06 22:24:47
47637116,"Signals, the push-pull based algorithm",other,122,32,mpweiher,2026-04-06 22:24:48
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,100,50,stevebmark,2026-04-06 22:24:49
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,358,90,vbtechguy,2026-04-06 22:24:52
47636456,Sheets Spreadsheets in Your Terminal,other,155,37,_____k,2026-04-06 22:24:53
47661231,When Virality Is the Message: The New Age of AI Propaganda,technology,38,29,virgildotcodes,2026-04-06 22:24:54
47652322,Music for Programming,entertainment,292,149,merusame,2026-04-06 22:24:55
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,129,18,ikessler,2026-04-06 22:24:56
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,110,53,salt4034,2026-04-06 22:24:56
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,291,179,nevernothing,2026-04-06 22:24:57
47652400,Why Switzerland has 25 Gbit internet and America doesn't,other,706,581,sschueller,2026-04-06 22:24:58
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,386,238,thisislife2,2026-04-06 22:24:59
47658743,Number in man page titles e.g. sleep(3),other,102,58,thunderbong,2026-04-06 22:25:00
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,91,18,mohshomis,2026-04-06 22:25:01
47662866,"I Replaced Kafka, Redis, and RabbitMQ with One Tool – A Deep Dive into NATS",other,6,0,jainal09,2026-04-06 22:25:02
47647455,Caveman: Why use many token when few token do trick,other,832,347,tosh,2026-04-06 22:25:03
47648828,"Eight years of wanting, three months of building with AI",technology,874,276,brilee,2026-04-06 22:25:04
47650312,A tail-call interpreter in (nightly) Rust,technology,184,48,g0xA52A2A,2026-04-06 22:25:05
47650502,Computational Physics (2nd Edition) (2025),science,168,20,teleforce,2026-04-06 22:25:06
47649721,Artemis II crew see first glimpse of far side of Moon [video],other,503,387,mooreds,2026-04-06 22:25:07
47654317,My university uses prompt injection to catch cheaters,other,62,34,varun_ch,2026-04-06 22:25:08
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,199,26,desideratum,2026-04-06 22:25:09
47655978,Stamp It: All programs must report their version,other,23,1,gurjeet,2026-04-06 22:25:10
47658617,Show HN: I just built a MCP Server that connects Claude to all your wearables,entertainment,9,7,anton_salcher,2026-04-06 22:25:11
47648048,Friendica – A Decentralized Social Network,other,156,56,janandonly,2026-04-06 22:25:11
47655905,Usenet Archives,other,109,55,myth_drannon,2026-04-06 22:25:13
47660901,Rock-climbing fish can shimmy up a 50-foot waterfall,other,9,1,mooreds,2026-04-06 22:25:14
47659609,Tiny Corp's Exabox,other,50,15,macleginn,2026-04-06 22:25:15
47652442,OpenJDK: Panama,other,65,18,tosh,2026-04-06 22:25:16
47654171,The Mechanics of Steins Gate (2023) [pdf],other,87,27,Ariarule,2026-04-06 22:25:17
47658772,How Paris swapped cars for bikes – and transformed its streets,other,30,3,vrganj,2026-04-06 22:25:18
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,187,53,MoltenMonster,2026-04-06 22:25:19
47659363,"Show HN: I replaced Google Analytics with my own tool – no cookies, <1KB script",entertainment,7,4,VictorChanet,2026-04-06 22:25:20
47656758,"Make your own ColecoVision at home, part 5",other,19,0,classichasclass,2026-04-06 22:25:21
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,914,593,zaikunzhang,2026-04-06 22:25:22
47640728,Show HN: A game where you build a GPU,technology,935,181,Jaso1024,2026-04-06 22:25:22
47654620,"In Japan, the robot isn't coming for your job; it's filling the one nobody wants",other,181,222,rbanffy,2026-04-06 22:25:23
47612331,Baby's Second Garbage Collector,other,64,16,matheusmoreira,2026-04-06 22:25:26
47659252,Is Germany's gold safe in New York ?,other,217,224,KnuthIsGod,2026-04-06 22:25:26
47607408,Scientists Figured Out How Eels Reproduce (2022),other,122,22,thunderbong,2026-04-06 22:25:27
47661065,"The Team Behind a Pro-Iran, Lego-Themed Viral-Video Campaign",technology,67,81,tantalor,2026-04-06 22:25:28
47653589,Women were never meant to give birth on their backs,other,64,22,ilt,2026-04-06 22:25:29
47649113,Finnish sauna heat exposure induces stronger immune cell than cytokine responses,other,372,269,Growtika,2026-04-06 22:25:30
47646472,Aegis – open-source FPGA silicon,other,140,33,rosscomputerguy,2026-04-06 22:25:31
47613272,Tracing Goroutines in Realtime with eBPF,other,78,9,darccio,2026-04-06 22:25:32
47644406,German implementation of eIDAS will require an Apple/Google account to function,other,561,625,DyslexicAtheist,2026-04-06 22:25:33
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,518,233,naves,2026-04-06 22:25:33
47649701,Perfmon – Consolidate your favorite CLI monitoring tools into a single TUI,other,53,11,paperplaneflyr,2026-04-06 22:25:34
47656335,Does coding with LLMs mean more microservices?,technology,56,58,jer0me,2026-04-06 22:25:35
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,77,9,lexalizer,2026-04-06 22:25:36
47658388,NIMBY Rails,technology,35,4,altilunium,2026-04-06 22:25:37
47651479,From birds to brains: My path to the fusiform face area (2024),technology,39,0,everbody,2026-04-06 22:25:38
47662682,Tattoo ink induces inflammation and alters the immune response to vaccination,sports,6,0,ryan_j_naughton,2026-04-06 22:25:39
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,192,132,1vuio0pswjnm7,2026-04-06 22:25:40
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,169,28,laszlokorte,2026-04-06 22:25:41
47662229,The secretive plan for a Maine data center collapsed in 6 days,technology,6,0,PLenz,2026-04-06 22:25:42
47646843,Lisette a little language inspired by Rust that compiles to Go,other,261,145,jspdown,2026-04-06 22:25:42
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,61,32,alvivanco,2026-04-06 22:25:43
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,116,53,waveywaves,2026-04-06 22:25:44
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1083,822,firloop,2026-04-06 22:25:45
47652324,LibreOffice – Let's put an end to the speculation,other,189,117,eisa01,2026-04-06 22:25:46
47604887,Electrical transformer manufacturing is throttling the electrified future,other,116,120,toomuchtodo,2026-04-06 22:25:47
47638043,Rendering arbitrary-scale emojis using the Slug algorithm,other,17,0,leduyquang753,2026-04-06 22:25:48
47636228,Spath and Splan,other,13,0,jasonmoo,2026-04-06 22:25:49
47631118,Artemis II crew take “spectacular” image of Earth,other,1064,380,andsoitis,2026-04-06 22:25:50
